SKU,Country,Tier,Package,Stage,Country_acc,Brand_acc,Tier_acc,Stage_acc,Package_acc,SKU_std,Format (g),SKU_wo_pkg,check_IL_offtake_std,check_IL_offtake_wo_pkg,check_IL_sellin_std,check_IL_sellin_wo_pkg,Is_Mature
ANZ PF 1,ANZ,PF,CAN,1,ANZ,APT,PF,1,CAN,ANZ_APT_PF_CAN_1,900,ANZ_APT_PF_1,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PF 2,ANZ,PF,CAN,2,ANZ,APT,PF,2,CAN,ANZ_APT_PF_CAN_2,900,ANZ_APT_PF_2,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PF 3,ANZ,PF,CAN,3,ANZ,APT,PF,3,CAN,ANZ_APT_PF_CAN_3,900,ANZ_APT_PF_3,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PF 4,ANZ,PF,CAN,4,ANZ,APT,PF,4,CAN,ANZ_APT_PF_CAN_4,900,ANZ_APT_PF_4,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PN 1,ANZ,PN,CAN,1,ANZ,APT,PN,1,CAN,ANZ_APT_PN_CAN_1,900,ANZ_APT_PN_1,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PN 2,ANZ,PN,CAN,2,ANZ,APT,PN,2,CAN,ANZ_APT_PN_CAN_2,900,ANZ_APT_PN_2,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PN 3,ANZ,PN,CAN,3,ANZ,APT,PN,3,CAN,ANZ_APT_PN_CAN_3,900,ANZ_APT_PN_3,TRUE,TRUE,TRUE,TRUE,TRUE
ANZ PN 4,ANZ,PN,CAN,4,ANZ,APT,PN,4,CAN,ANZ_APT_PN_CAN_4,900,ANZ_APT_PN_4,TRUE,TRUE,TRUE,TRUE,TRUE
APT UK 1,UK,PN,EZP,1,UK,APT,PN,1,EZP,UK_APT_PN_EZP_1,900,UK_APT_PN_1,TRUE,TRUE,TRUE,TRUE,TRUE
APT UK 2,UK,PN,EZP,2,UK,APT,PN,2,EZP,UK_APT_PN_EZP_2,900,UK_APT_PN_2,TRUE,TRUE,TRUE,TRUE,TRUE
APT UK 3,UK,PN,EZP,3,UK,APT,PN,3,EZP,UK_APT_PN_EZP_3,900,UK_APT_PN_3,TRUE,TRUE,TRUE,TRUE,TRUE
APT UK 4,UK,PN,EZP,4,UK,APT,PN,4,EZP,UK_APT_PN_EZP_4,800,UK_APT_PN_4,TRUE,TRUE,TRUE,TRUE,TRUE
