,sku_wo_pkg,date_to_predict,horizon,date_when_predicting,label,prediction,ratio
0,ANZ_APT_PF_1,201703,1,201702,il,47.50703687017066,1
1,ANZ_APT_PF_2,201703,1,201702,il,51.90328891240144,1
2,ANZ_APT_PF_3,201703,1,201702,il,163.94647816655294,1
3,ANZ_APT_PF_4,201703,1,201702,il,81.73262887323295,1
4,ANZ_APT_PN_1,201703,1,201702,il,178.41774258661707,1
5,ANZ_APT_PN_2,201703,1,201702,il,181.20716497692186,1
6,ANZ_APT_PN_3,201703,1,201702,il,374.3941067288834,1
7,ANZ_APT_PN_4,201703,1,201702,il,329.426120840258,1
8,ANZ_KC_GD_1,201703,1,201702,il,10.985797786759031,1
9,ANZ_KC_GD_2,201703,1,201702,il,13.489780546070735,1
10,ANZ_KC_GD_3,201703,1,201702,il,36.54165135346784,1
11,ANZ_KC_GD_4,201703,1,201702,il,29.78441610259991,1
12,ANZ_KC_GT_1,201703,1,201702,il,44.80658568209238,1
13,ANZ_KC_GT_2,201703,1,201702,il,50.50729724350427,1
14,ANZ_KC_GT_3,201703,1,201702,il,94.81544607529688,1
15,DE_APT_PF_1,201703,1,201702,il,39.316866122739285,1
16,DE_APT_PF_2,201703,1,201702,il,96.8145666511758,1
17,DE_APT_PF_PRE,201703,1,201702,il,86.66955817776498,1
18,DE_APT_PN_1,201703,1,201702,il,127.30682470923672,1
19,DE_APT_PN_2,201703,1,201702,il,199.3743630924016,1
20,DE_APT_PN_3,201703,1,201702,il,271.3563964262318,1
21,DE_APT_PN_4,201703,1,201702,il,337.41895796630996,1
22,DE_APT_PN_5,201703,1,201702,il,302.4074908604366,1
23,DE_APT_PN_PRE,201703,1,201702,il,135.367522486753,1
24,NL_NC_PN_1,201703,1,201702,il,176.00043717599974,1
25,NL_NC_PN_2,201703,1,201702,il,156.55877906595637,1
26,NL_NC_PN_3,201703,1,201702,il,123.15607077437134,1
27,NL_NC_PN_4,201703,1,201702,il,317.5029695831117,1
28,NL_NC_PN_5,201703,1,201702,il,206.83044444800075,1
29,NL_NC_PN_6,201703,1,201702,il,62.2674369607476,1
30,UK_APT_PF_1,201703,1,201702,il,11.79833923595021,1
31,UK_APT_PF_2,201703,1,201702,il,10.659786978165739,1
32,UK_APT_PF_3,201703,1,201702,il,38.558003039836834,1
33,UK_APT_PN_1,201703,1,201702,il,43.78473757344788,1
34,UK_APT_PN_2,201703,1,201702,il,45.95190187373289,1
35,UK_APT_PN_3,201703,1,201702,il,69.56962997744796,1
36,UK_APT_PN_4,201703,1,201702,il,57.837350397561025,1
37,UK_C&G_C&G_1,201703,1,201702,il,51.868331890103796,1
38,UK_C&G_C&G_2,201703,1,201702,il,49.89167069120165,1
39,UK_C&G_C&G_3,201703,1,201702,il,118.54187748260144,1
40,UK_C&G_C&G_4,201703,1,201702,il,93.6000904508336,1
41,ANZ_APT_PF_1,201704,2,201702,il,64.99028315405015,1
42,ANZ_APT_PF_2,201704,2,201702,il,59.494823132576215,1
43,ANZ_APT_PF_3,201704,2,201702,il,127.55655937024174,1
44,ANZ_APT_PF_4,201704,2,201702,il,93.43801280982163,1
45,ANZ_APT_PN_1,201704,2,201702,il,167.98884343847223,1
46,ANZ_APT_PN_2,201704,2,201702,il,160.45600316420757,1
47,ANZ_APT_PN_3,201704,2,201702,il,365.4441718202499,1
48,ANZ_APT_PN_4,201704,2,201702,il,317.05586093309626,1
49,ANZ_KC_GD_1,201704,2,201702,il,15.505299755523504,1
50,ANZ_KC_GD_2,201704,2,201702,il,14.458682471463923,1
51,ANZ_KC_GD_3,201704,2,201702,il,40.99599219090891,1
52,ANZ_KC_GD_4,201704,2,201702,il,34.47330523016335,1
53,ANZ_KC_GT_1,201704,2,201702,il,45.89874606013373,1
54,ANZ_KC_GT_2,201704,2,201702,il,47.807232865317566,1
55,ANZ_KC_GT_3,201704,2,201702,il,109.64893557717177,1
56,DE_APT_PF_1,201704,2,201702,il,41.423654351688796,1
57,DE_APT_PF_2,201704,2,201702,il,104.05985332679467,1
58,DE_APT_PF_PRE,201704,2,201702,il,76.43982903644685,1
59,DE_APT_PN_1,201704,2,201702,il,146.1886781671533,1
60,DE_APT_PN_2,201704,2,201702,il,184.60461388931563,1
61,DE_APT_PN_3,201704,2,201702,il,230.6760695888063,1
62,DE_APT_PN_4,201704,2,201702,il,314.7102413567183,1
63,DE_APT_PN_5,201704,2,201702,il,295.99432105249196,1
64,DE_APT_PN_PRE,201704,2,201702,il,133.6224397707776,1
65,NL_NC_PN_1,201704,2,201702,il,183.7618803398313,1
66,NL_NC_PN_2,201704,2,201702,il,157.29331568762876,1
67,NL_NC_PN_3,201704,2,201702,il,137.3539016307562,1
68,NL_NC_PN_4,201704,2,201702,il,317.60513285624637,1
69,NL_NC_PN_5,201704,2,201702,il,220.59154078179552,1
70,NL_NC_PN_6,201704,2,201702,il,61.408290180974426,1
71,UK_APT_PF_1,201704,2,201702,il,14.279480100537263,1
72,UK_APT_PF_2,201704,2,201702,il,9.543653183607333,1
73,UK_APT_PF_3,201704,2,201702,il,49.103000213100366,1
74,UK_APT_PN_1,201704,2,201702,il,52.853802156163866,1
75,UK_APT_PN_2,201704,2,201702,il,45.09997898708331,1
76,UK_APT_PN_3,201704,2,201702,il,73.29245604706031,1
77,UK_APT_PN_4,201704,2,201702,il,60.18048218454734,1
78,UK_C&G_C&G_1,201704,2,201702,il,49.58521672130379,1
79,UK_C&G_C&G_2,201704,2,201702,il,48.04394100088563,1
80,UK_C&G_C&G_3,201704,2,201702,il,124.59589779495316,1
81,UK_C&G_C&G_4,201704,2,201702,il,94.2544718441574,1
82,ANZ_APT_PF_1,201705,3,201702,il,52.3284015637818,1
83,ANZ_APT_PF_2,201705,3,201702,il,50.13249204980738,1
