,sku_wo_pkg,date,horizon,date_when_predicting_x,yhat_di_calib,date_when_predicting_y,yhat_eib_calib,date_when_predicting,yhat_il_calib,fold,target_di,target_eib,target_il,country,brand,tier,stage,age_offtake_di,age_offtake_il,age_offtake_eib,err_di,abs_err_di
0,ANZ_APT_PF_1,2017-12-01,1,201711,14.540789604187012,201711,49.71157559410575,201711,64.25236519829276,-1,10.9503,72.56713794145325,83.51743794145325,ANZ,APT,PF,1,-5.0,35.0,35.0,-3.5904896041870114,3.5904896041870114
1,ANZ_APT_PF_2,2017-12-01,1,201711,31.074684143066406,201711,75.62900610245251,201711,106.70369024551891,-1,22.0536,82.44959577208037,104.50319577208036,ANZ,APT,PF,2,3.0,35.0,35.0,-9.021084143066407,9.021084143066407
2,ANZ_APT_PF_3,2017-12-01,1,201711,114.63934326171875,201711,196.29346774342778,201711,310.9328110051465,-1,73.1682,189.32676039519475,262.4949603951948,ANZ,APT,PF,3,5.0,35.0,35.0,-41.47114326171875,41.47114326171875
3,ANZ_APT_PF_4,2017-12-01,1,201711,60.43313980102539,201711,86.16635393629501,201711,146.59949373732042,-1,29.5425,103.31604497853168,132.85854497853168,ANZ,APT,PF,4,5.0,26.0,26.0,-30.89063980102539,30.89063980102539
4,ANZ_APT_PN_1,2017-12-01,1,201711,30.859373092651367,201711,54.25363197809786,201711,85.11300507074922,-1,19.9377,77.86485528985392,97.80255528985391,ANZ,APT,PN,1,7.0,35.0,35.0,-10.921673092651368,10.921673092651368
5,ANZ_APT_PN_2,2017-12-01,1,201711,63.61578369140625,201711,108.45558070820141,201711,172.07136439960766,-1,77.8725,87.95355651013945,165.82605651013944,ANZ,APT,PN,2,10.0,35.0,35.0,14.256716308593752,14.256716308593752
6,ANZ_APT_PN_3,2017-12-01,1,201711,238.1925048828125,201711,322.8313748655651,201711,561.0238797483776,-1,254.31210000000004,230.83016831897487,485.14226831897486,ANZ,APT,PN,3,15.0,35.0,35.0,16.119595117187544,16.119595117187544
7,ANZ_APT_PN_4,2017-12-01,1,201711,204.85020446777344,201711,277.22541093117354,201711,482.075615398947,-1,141.5538,186.30105655612968,327.8548565561297,ANZ,APT,PN,4,15.0,35.0,35.0,-63.29640446777344,63.29640446777344
8,ANZ_KC_GD_1,2017-12-01,1,201711,0.0,201711,6.459839649640206,201711,6.459839649640206,-1,0.0,8.035033699011219,8.035033699011219,ANZ,KC,GD,1,-99.0,35.0,35.0,0.0,0.0
9,ANZ_KC_GD_2,2017-12-01,1,201711,0.0,201711,11.532094286431215,201711,11.532094286431215,-1,0.0,12.436882211987324,12.436882211987324,ANZ,KC,GD,2,-99.0,35.0,35.0,0.0,0.0
10,ANZ_KC_GD_3,2017-12-01,1,201711,0.0,201711,23.835160308522173,201711,23.835160308522173,-1,0.0,27.47383120029777,27.47383120029777,ANZ,KC,GD,3,-99.0,35.0,35.0,0.0,0.0
11,ANZ_KC_GD_4,2017-12-01,1,201711,0.0,201711,16.04653550890806,201711,16.04653550890806,-1,0.0,22.56514084885573,22.56514084885573,ANZ,KC,GD,4,-99.0,35.0,35.0,0.0,0.0
12,ANZ_KC_GT_1,2017-12-01,1,201711,0.0,201711,35.100801471188724,201711,35.100801471188724,-1,0.0,54.600226142382056,54.600226142382056,ANZ,KC,GT,1,-99.0,35.0,35.0,0.0,0.0
13,ANZ_KC_GT_2,2017-12-01,1,201711,0.0,201711,45.09194073787721,201711,45.09194073787721,-1,0.0,63.87345768537229,63.87345768537229,ANZ,KC,GT,2,-99.0,35.0,35.0,0.0,0.0
14,ANZ_KC_GT_3,2017-12-01,1,201711,0.0,201711,136.3106821436854,201711,136.3106821436854,-1,0.0,156.9939741136109,156.9939741136109,ANZ,KC,GT,3,-99.0,35.0,35.0,0.0,0.0
15,DE_APT_PF_1,2017-12-01,1,201711,13.052453994750977,201711,19.752565224598495,201711,32.805019219349475,-1,9.7608,25.608374541377486,35.36917454137749,DE,APT,PF,1,-5.0,21.0,21.0,-3.291653994750977,3.291653994750977
16,DE_APT_PF_2,2017-12-01,1,201711,18.59874153137207,201711,149.02266758777324,201711,167.6214091191453,-1,2.1448,137.30150461431685,139.44630461431686,DE,APT,PF,2,3.0,35.0,35.0,-16.45394153137207,16.45394153137207
