,1,2,3,4,5,6,7,8,9,10,11,12
0,label_country_brand_offtake_sales2,label_country_brand_offtake_sales1,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2,label_country_brand_offtake_sales1,label_country_brand_offtake_sales1,label_country_brand_offtake_sales4,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2,label_country_brand_offtake_sales1
1,label_country_brand_offtake_sales1,label_country_brand_offtake_sales4,label_country_brand_offtake_sales2,label_country_brand_offtake_sales1,label_country_brand_offtake_sales3,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2,label_country_brand_offtake_sales5,label_country_brand_offtake_sales2,label_country_brand_offtake_sales3,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2
2,label_country_brand_offtake_sales3,label_country_brand_offtake_sales2,label_country_brand_offtake_sales3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales2,label_country_brand_offtake_sales3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales3,label_country_brand_offtake_sales1,label_country_brand_offtake_sales2,label_country_brand_offtake_sales3,label_country_brand_offtake_sales3
3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales3,label_country_brand_offtake_sales5,label_country_brand_offtake_sales3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales5,label_country_brand_offtake_sales3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales3,label_country_brand_offtake_sales4,label_country_brand_offtake_sales4,label_country_brand_offtake_sales4
4,label_country_brand_offtake_sales5,label_country_brand_offtake_sales6,label_country_brand_offtake_sales4,label_country_brand_offtake_sales5,label_country_brand_offtake_sales8,label_country_brand_offtake_sales4,label_country_brand_offtake_sales6,label_country_brand_offtake_sales2,label_country_offtake_sales4,label_country_brand_offtake_sales5,label_country_brand_offtake_sales5,label_country_offtake_sales1
5,label_country_brand_offtake_sales7,label_country_brand_offtake_sales5,label_country_brand_offtake_sales6,label_country_brand_sellin_sales1,label_country_brand_offtake_sales6,label_country_brand_offtake_sales7,label_country_offtake_sales6,label_country_brand_offtake_sales6,label_country_brand_offtake_sales6,label_country_offtake_sales3,label_country_offtake_sales2,label_country_brand_offtake_sales6
6,label_country_brand_offtake_sales8,label_country_offtake_sales1,label_country_brand_offtake_sales8,label_country_brand_offtake_sales7,label_country_offtake_sales8,label_country_brand_offtake_sales6,label_country_brand_sellin_sales1,label_country_offtake_sales5,label_country_brand_offtake_sales5,label_brand_offtake_sales1,label_country_brand_sellin_sales1,label_country_brand_sellin_sales2
7,label_country_offtake_sales4,label_country_brand_offtake_sales11,label_country_offtake_sales1,label_country_brand_offtake_sales8,label_country_offtake_sales1,label_country_offtake_sales7,label_country_brand_offtake_sales5,label_brand_offtake_sales1,label_country_brand_offtake_sales9,ANZ_APT,label_country_brand_offtake_sales6,ANZ_APT
8,label_country_offtake_sales12,label_country_brand_offtake_sales9,label_country_brand_sellin_sales1,label_country_offtake_sales9,label_country_brand_sellin_sales1,label_country_brand_sellin_sales2,label_country_offtake_sales1,label_country_brand_offtake_sales11,label_brand_offtake_sales1,label_country_brand_offtake_sales7,label_country_brand_offtake_sales7,label_brand_offtake_sales1
9,label_country_offtake_sales1,label_country_offtake_sales3,label_country_offtake_sales10,label_country_offtake_sales1,label_country_brand_offtake_sales7,label_country_offtake_sales1,label_country_brand_offtake_sales7,label_country_brand_offtake_sales8,label_country_brand_sellin_sales1,12to36_month_population_mean_9M,ANZ_APT,label_country_offtake_sales2
10,label_country_offtake_sales2,label_country_offtake_sales2,label_country_brand_sellin_sales3,label_country_offtake_sales2,label_country_offtake_sales2,label_brand_offtake_sales1,label_country_brand_offtake_sales11,label_country_offtake_sales1,ANZ_APT,label_country_brand_offtake_sales6,12to36_month_population_mean_9M,label_country_brand_sellin_sales12
11,label_country_brand_offtake_sales12,label_country_offtake_sales11,label_country_brand_offtake_sales7,label_country_brand_sellin_sales2,label_brand_offtake_sales1,label_country_brand_offtake_sales8,label_brand_offtake_sales1,mainstream_fsct,label_country_brand_offtake_sales7,label_country_brand_offtake_sales8,label_brand_offtake_sales1,label_country_brand_sellin_sales1
12,country_offtake_sales12,country_offtake_sales11,label_country_brand_offtake_sales9,label_country_brand_offtake_sales6,label_country_brand_offtake_sales5,label_country_offtake_sales2,label_country_offtake_sales2,ANZ_APT,label_country_brand_offtake_sales8,12to36_month_population_mean_3M,label_brand_offtake_sales2,label_country_brand_offtake_sales7
13,label_country_brand_sellin_sales1,label_brand_offtake_sales1,label_country_offtake_sales3,label_country_brand_offtake_sales9,mainstream_fsct,label_country_brand_offtake_sales10,label_brand_offtake_sales2,label_brand_offtake_sales2,mainstream_fsct,label_country_brand_offtake_sales9,12to36_month_population_mean_6M,label_country_brand_offtake_sales5
14,label_country_offtake_sales5,brand_offtake_sales11,label_country_brand_offtake_sales10,country_offtake_sales9,label_brand_offtake_sales2,mainstream_fsct,ANZ_APT,mainstream_mean_3M_fsct,label_brand_offtake_sales4,label_brand_offtake_sales3,12to36_month_population_mean_3M,label_brand_offtake_sales2
15,mainstream_fsct,mainstream_fsct,label_country_offtake_sales2,label_brand_offtake_sales3,12to36_month_population_mean_3M,label_country_offtake_sales3,mainstream_fsct,12to36_month_population_mean_3M,12to36_month_population_mean_3M,mainstream_fsct,label_country_offtake_sales1,label_country_offtake_sales3
16,label_country_brand_offtake_sales6,label_country_offtake_sales4,country_offtake_sales10,mainstream_fsct,country_offtake_sales8,0to6_month_population_mean_3M,label_country_offtake_sales7,12to36_month_population_mean_12M,mainstream_mean_3M_fsct,label_country_offtake_sales1,mainstream_fsct,label_country_brand_offtake_sales12
17,label_country_offtake_sales3,label_country_brand_sellin_sales1,brand_offtake_sales10,label_brand_offtake_sales1,ANZ_APT,label_country_brand_sellin_sales1,label_brand_offtake_sales6,label_country_brand_sellin_sales1,label_brand_offtake_sales3,label_country_offtake_sales2,12to36_month_population_mean_12M,label_country_brand_offtake_sales11
18,label_country_brand_sellin_sales5,label_country_brand_sellin_sales2,label_brand_offtake_sales1,label_country_offtake_sales3,label_country_offtake_sales10,ANZ_APT,country_offtake_sales6,12to36_month_population_mean_6M,12to36_month_population_mean_6M,label_brand_offtake_sales2,label_country_offtake_sales3,mainstream_fsct
19,label_country_brand_sellin_sales7,upre_sales3,12to36_month_population_mean_6M,mainstream_mean_3M_fsct,brand_offtake_sales8,country_offtake_sales7,12to36_month_population_mean_3M,upre_sales1,12to36_month_population_mean_9M,12to36_month_population_mean_6M,label_country_brand_offtake_sales12,12to36_month_population_mean_9M
20,brand_offtake_sales12,upre_fsct,mainstream_fsct,brand_offtake_sales9,label_country_brand_sellin_sales3,label_country_offtake_sales8,0to6_month_population_mean_3M,label_country_offtake_sales2,label_country_offtake_sales5,label_country_offtake_sales4,label_brand_offtake_sales3,12to36_month_population_mean_12M
21,label_brand_offtake_sales12,label_country_brand_offtake_sales7,label_brand_offtake_sales2,0to6_month_population_mean_6M,mainstream_mean_3M_fsct,12to36_month_population_mean_3M,brand_offtake_sales6,upre_mean_3M_fsct,label_country_offtake_sales1,label_country_brand_offtake_sales12,label_brand_offtake_sales4,12to36_month_population_mean_6M
22,label_country_brand_sellin_sales2,label_country_brand_sellin_sales6,label_country_brand_sellin_sales5,label_brand_offtake_sales9,label_country_offtake_sales3,label_brand_offtake_sales3,12to36_month_population_mean_12M,label_brand_offtake_sales4,label_brand_offtake_sales2,12to36_month_population_mean_12M,upre_mean_3M_fsct,eib
23,spre_fsct,label_brand_offtake_sales11,label_brand_offtake_sales10,label_brand_offtake_sales2,0to6_month_population_mean_6M,label_country_offtake_sales9,label_country_brand_offtake_sales12,brand_offtake_sales5,label_country_offtake_sales3,mainstream_mean_3M_fsct,label_country_brand_offtake_sales10,upre_sales2
24,label_country_brand_sellin_sales3,label_brand_offtake_sales4,mainstream_mean_3M_fsct,label_country_offtake_sales4,label_country_offtake_sales4,label_brand_offtake_sales2,12to36_month_population_mean_9M,label_country_brand_offtake_sales7,12to36_month_population_mean_12M,label_country_offtake_sales5,label_country_offtake_sales4,country_offtake_sales1
25,label_brand_offtake_sales6,label_country_brand_sellin_sales4,spre_fsct,12to36_month_population_mean_3M,upre_sales2,label_brand_offtake_sales7,label_country_offtake_sales8,label_country_offtake_sales6,label_country_offtake_sales2,brand_offtake_sales3,country_offtake_sales2,label_country_brand_offtake_sales9
