Month,Total,FO,GU,IF,CL,IL,FOCL,FOIL,GUCL,GUIL,IFCL,IFIL,0-6 Month population,6-12 Month population,12-36 Month population
1/1/2015,39890.2058,9246.387163,21448.04892,9195.76971,31445.99708,8444.208717,7474.660087,1771.727077,16597.70619,4850.342737,7373.630807,1822.138903,955.47953,729.71824,3279.14799
2/1/2015,33294.42207,7969.073129,17377.33801,7948.010934,27052.60283,6241.819249,6550.422873,1418.650256,13865.55762,3511.780388,6636.622329,1311.388605,968.70722,713.8548,3283.47062
3/1/2015,37884.03288,9066.261235,19938.56776,8879.203888,29352.76554,8531.267339,7121.708979,1944.552256,15227.21943,4711.348324,7003.837129,1875.36676,981.79215,698.16012,3287.75061
4/1/2015,35135.17881,8588.860056,18514.26985,8032.048906,26884.64711,8250.5317,6706.763799,1882.096257,13949.68466,4564.58519,6228.198652,1803.850254,950.67544,727.01808,3291.45496
5/1/2015,35356.02033,8769.100894,18973.88048,7613.038958,27297.8181,8058.202231,6843.865487,1925.235407,14458.02942,4515.851059,5995.923193,1617.115765,827.61378,847.85024,3295.11134
6/1/2015,36009.90253,8863.486647,19756.7523,7389.663579,28067.43991,7942.462617,6985.068787,1878.417859,15158.81222,4597.940081,5923.558903,1466.104677,745.29153,928.01124,3298.65579
7/1/2015,34839.94392,8626.258022,18824.17547,7389.510421,26713.96478,8125.979137,6776.971347,1849.286675,14201.15137,4623.024107,5735.842066,1653.668355,715.66524,955.47953,3302.19491
8/1/2015,37275.69731,9075.523965,20535.24751,7664.925836,27387.91601,9887.7813,6937.283836,2138.240129,14722.9104,5812.337109,5727.721774,1937.204062,700.1073,968.70722,3306.01652
9/1/2015,36707.41905,8832.452826,20312.9533,7562.012925,26886.61098,9820.808068,6699.540501,2132.912325,14570.20809,5742.745208,5616.86239,1945.150534,684.71487,981.79215,3309.80082
10/1/2015,37603.45715,9173.330375,20834.95369,7595.173077,27987.22406,9616.233083,6956.364683,2216.965692,15220.08803,5614.86566,5810.771346,1784.401731,713.01708,950.67544,3314.4166
11/1/2015,43370.91782,10020.29308,26179.95618,7170.668552,32980.25341,10390.66441,7712.14969,2308.143394,19411.87429,6768.081888,5856.229423,1314.439129,831.52224,827.61378,3321.88926
12/1/2015,37325.85565,8894.178873,21089.56513,7342.111651,28127.55942,9198.296226,6750.765956,2143.412917,15626.17352,5463.391604,5750.619946,1591.491705,910.13949,745.29153,3327.96546
1/1/2016,39480.35939,9417.434709,22443.21585,7619.708829,30675.32671,8805.032683,7231.546535,2185.888174,17462.60179,4980.614057,5981.178377,1638.530453,950.75007,715.66524,3329.26368
2/1/2016,31551.49308,7381.112087,17436.80435,6733.576643,24480.42944,7071.063639,5702.256465,1678.855623,13413.02869,4023.775655,5365.144281,1368.432362,976.87534,700.1073,3330.51262
3/1/2016,37899.06092,8765.298806,21328.07177,7805.690343,28277.85478,9621.206136,6548.664639,2216.634167,15668.15522,5659.916547,6061.034922,1744.655421,1002.73086,684.71487,3331.74924
4/1/2016,35875.44527,8233.99536,20176.08677,7465.363138,26774.37148,9101.073796,6010.494334,2223.501025,14934.14777,5241.939001,5829.729368,1635.63377,983.4845,713.01708,3332.81954
5/1/2016,37139.52953,8473.813089,21241.7407,7423.975738,28033.82485,9105.704681,6177.968957,2295.844132,15923.40115,5318.339547,5932.454737,1491.521002,873.91792,831.52224,3333.87598
6/1/2016,36902.7347,8326.016587,21237.98824,7338.729872,28250.57288,8652.161821,6224.906557,2101.11003,16259.08483,4978.903409,5766.58149,1572.148382,803.96562,910.13949,3334.90008
7/1/2016,34681.67258,7842.355479,19734.5932,7104.723894,26065.49895,8616.173629,5738.18589,2104.169589,14850.32537,4884.267829,5476.987684,1627.73621,772.00696,950.75007,3335.92264
8/1/2016,35809.47045,8048.017886,20432.14869,7329.303872,27101.36906,8708.101383,5827.699598,2220.318289,15546.10399,4886.044698,5727.565476,1601.738397,755.2242,976.87534,3337.02682
9/1/2016,35877.30063,7918.613888,20661.03041,7297.65633,26970.40893,8906.891695,5756.328567,2162.285322,15542.56562,5118.464791,5671.514748,1626.141582,738.61998,1002.73086,3338.12022
10/1/2016,36906.7073,8236.628963,21095.02927,7575.049065,28423.385,8483.322291,6116.300312,2120.328651,16307.2813,4787.747971,5999.803397,1575.245668,769.15032,983.4845,3339.45386
11/1/2016,42159.31127,8908.059885,25294.66472,7956.586666,32051.58118,10107.73009,6623.985995,2284.07389,19297.40013,5997.264588,6130.195056,1826.39161,896.98496,873.91792,3341.61294
12/1/2016,37346.82337,8299.515008,20968.89981,8078.408557,27338.75818,10008.0652,6097.17413,2202.340878,15041.53623,5927.36358,6200.047818,1878.360739,981.79146,803.96562,3343.36854
1/1/2017,41024.22225,9341.712669,23031.6745,8650.835087,31491.57653,9532.645727,6949.601213,2392.111456,17791.35298,5240.321519,6750.622335,1900.212752,1008.51509,772.00696,3351.61308
2/1/2017,33299.61082,7986.005183,17690.18956,7623.416069,24632.53805,8667.072767,5774.476096,2211.529087,13067.06373,4623.125836,5790.998225,1832.417844,1020.26154,755.2242,3359.54466
3/1/2017,39176.37926,9143.32798,21410.80728,8622.244004,28416.59055,10759.78871,6560.279669,2583.048311,15429.74887,5981.058412,6426.562017,2195.681987,1031.87913,738.61998,3367.398
4/1/2017,37320.40359,8920.452908,20320.87643,8079.074256,27196.945,10123.45859,6499.683618,2420.76929,14550.69164,5770.18479,6146.569747,1932.504509,997.03284,769.15032,3374.1951
5/1/2017,39059.13601,9272.653408,21693.2984,8093.1842,28555.14016,10503.99585,6662.41354,2610.239868,15765.23766,5928.060745,6127.488965,1965.695235,864.93814,896.98496,3380.90418
6/1/2017,41331.08651,9966.923891,23438.40209,7925.760522,30734.07351,10597.013,7244.321639,2722.602252,17417.71587,6020.686226,6072.036001,1853.724521,776.00199,981.79146,3387.40788
7/1/2017,37575.14555,9147.178377,20598.01355,7829.953628,27466.65213,10108.49342,6745.728622,2401.449755,14748.66735,5849.346197,5972.256162,1857.697466,745.15492,1008.51509,3393.9018
8/1/2017,39607.2018,9593.103023,22316.7599,7697.338878,28824.51142,10782.69038,6933.376739,2659.726284,16010.39316,6306.366743,5880.741527,1816.597351,728.9559,1020.26154,3400.91406
9/1/2017,38848.03834,9226.588616,22109.6362,7511.813532,28363.56878,10484.46956,6645.83118,2580.757436,16008.58863,6101.047567,5709.148973,1802.664559,712.92921,1031.87913,3407.85786
10/1/2017,39626.32359,9421.747524,22369.03441,7835.541659,29510.40682,10115.91677,6954.081996,2467.665528,16511.08875,5857.945659,6045.236075,1790.305584,742.39764,997.03284,3416.32734
11/1/2017,50655.25731,11441.98862,31226.30451,7986.964192,37540.81944,13114.43788,8052.953696,3389.03492,23369.49436,7856.810148,6118.371384,1868.592808,865.78592,864.93814,3430.0389
12/1/2017,38893.75517,8889.13174,22396.93542,7607.688009,29067.32191,9826.433261,6539.449882,2349.681858,16619.00805,5777.927374,5908.86398,1698.824029,947.64267,776.00199,3441.1881
1/1/2018,44591.26735,10040.54668,26254.875,8295.845665,34354.10419,10237.16316,7619.135411,2421.411273,20243.63751,6011.237492,6491.33127,1804.514395,961.65503,745.15492,3446.93736
2/1/2018,34914.31259,8029.555825,19539.92186,7344.834903,27248.44425,7665.86834,6147.92862,1881.627205,15149.99094,4389.930922,5950.52469,1394.310213,961.65838,728.9559,3452.46838
3/1/2018,41887.41083,9284.128499,24304.45083,8298.831499,32122.24214,9765.168692,7006.591278,2277.537221,18533.31228,5771.138553,6582.338581,1716.492918,961.64916,712.92921,3457.94484
