sku_w_pkg,cycle_month,forecasted_month,forecast
ANZ_APT_PF_CAN_1,2017-01,2017-01,0
ANZ_APT_PF_CAN_1,2017-01,2017-02,0
ANZ_APT_PF_CAN_1,2017-01,2017-03,0.78
ANZ_APT_PF_CAN_1,2017-01,2017-04,1.18
ANZ_APT_PF_CAN_1,2017-01,2017-05,1.5
ANZ_APT_PF_CAN_1,2017-01,2017-06,2.04
ANZ_APT_PF_CAN_1,2017-01,2017-07,2.09
ANZ_APT_PF_CAN_1,2017-01,2017-08,2.09
ANZ_APT_PF_CAN_1,2017-01,2017-09,2.25
ANZ_APT_PF_CAN_1,2017-01,2017-10,2.09
ANZ_APT_PF_CAN_1,2017-01,2017-11,2.62
ANZ_APT_PF_CAN_1,2017-01,2017-12,2.25
ANZ_APT_PF_CAN_1,2017-01,2018-01,1.62
ANZ_APT_PF_CAN_1,2017-01,2018-02,1.67
ANZ_APT_PF_CAN_1,2017-01,2018-03,2.3
ANZ_APT_PF_CAN_1,2017-01,2018-04,2.25
ANZ_APT_PF_CAN_1,2017-01,2018-05,2.09
ANZ_APT_PF_CAN_1,2017-01,2018-06,2.3
ANZ_APT_PF_CAN_1,2017-01,2018-07,2.09
ANZ_APT_PF_CAN_1,2017-01,2018-08,2.09
ANZ_APT_PF_CAN_1,2017-01,2018-09,2.09
ANZ_APT_PF_CAN_1,2017-01,2018-10,2.09
ANZ_APT_PF_CAN_1,2017-01,2018-11,2.44
ANZ_APT_PF_CAN_1,2017-01,2018-12,2.09
ANZ_APT_PF_CAN_1,2017-02,2017-02,0
ANZ_APT_PF_CAN_1,2017-02,2017-03,1.55
ANZ_APT_PF_CAN_1,2017-02,2017-04,2.68
ANZ_APT_PF_CAN_1,2017-02,2017-05,3.41
ANZ_APT_PF_CAN_1,2017-02,2017-06,4.74
ANZ_APT_PF_CAN_1,2017-02,2017-07,4.82
ANZ_APT_PF_CAN_1,2017-02,2017-08,4.82
ANZ_APT_PF_CAN_1,2017-02,2017-09,4.82
ANZ_APT_PF_CAN_1,2017-02,2017-10,4.82
ANZ_APT_PF_CAN_1,2017-02,2017-11,5.49
ANZ_APT_PF_CAN_1,2017-02,2017-12,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-01,3.8
ANZ_APT_PF_CAN_1,2017-02,2018-02,3.82
ANZ_APT_PF_CAN_1,2017-02,2018-03,5.24
ANZ_APT_PF_CAN_1,2017-02,2018-04,5.25
ANZ_APT_PF_CAN_1,2017-02,2018-05,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-06,5.31
ANZ_APT_PF_CAN_1,2017-02,2018-07,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-08,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-09,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-10,4.82
ANZ_APT_PF_CAN_1,2017-02,2018-11,5.49
ANZ_APT_PF_CAN_1,2017-02,2018-12,4.82
ANZ_APT_PF_CAN_1,2017-03,2017-03,1.17
ANZ_APT_PF_CAN_1,2017-03,2017-04,3.98
ANZ_APT_PF_CAN_1,2017-03,2017-05,4.95
ANZ_APT_PF_CAN_1,2017-03,2017-06,6.77
ANZ_APT_PF_CAN_1,2017-03,2017-07,15.83
ANZ_APT_PF_CAN_1,2017-03,2017-08,6.83
ANZ_APT_PF_CAN_1,2017-03,2017-09,6.83
ANZ_APT_PF_CAN_1,2017-03,2017-10,6.83
ANZ_APT_PF_CAN_1,2017-03,2017-11,7.73
ANZ_APT_PF_CAN_1,2017-03,2017-12,6.83
ANZ_APT_PF_CAN_1,2017-03,2018-01,3.41
ANZ_APT_PF_CAN_1,2017-03,2018-02,3.4
ANZ_APT_PF_CAN_1,2017-03,2018-03,4.61
ANZ_APT_PF_CAN_1,2017-03,2018-04,4.72
ANZ_APT_PF_CAN_1,2017-03,2018-05,4.37
ANZ_APT_PF_CAN_1,2017-03,2018-06,4.81
ANZ_APT_PF_CAN_1,2017-03,2018-07,4.37
ANZ_APT_PF_CAN_1,2017-03,2018-08,4.37
ANZ_APT_PF_CAN_1,2017-03,2018-09,4.37
ANZ_APT_PF_CAN_1,2017-03,2018-10,4.37
ANZ_APT_PF_CAN_1,2017-03,2018-11,5.02
ANZ_APT_PF_CAN_1,2017-03,2018-12,4.37
ANZ_APT_PF_CAN_1,2017-04,2017-04,4.4
ANZ_APT_PF_CAN_1,2017-04,2017-05,5.94
ANZ_APT_PF_CAN_1,2017-04,2017-06,11.89
ANZ_APT_PF_CAN_1,2017-04,2017-07,11.02
ANZ_APT_PF_CAN_1,2017-04,2017-08,13.99
ANZ_APT_PF_CAN_1,2017-04,2017-09,14.39
ANZ_APT_PF_CAN_1,2017-04,2017-10,14.53
ANZ_APT_PF_CAN_1,2017-04,2017-11,19.82
ANZ_APT_PF_CAN_1,2017-04,2017-12,14.66
ANZ_APT_PF_CAN_1,2017-04,2018-01,9.91
ANZ_APT_PF_CAN_1,2017-04,2018-02,6.37
ANZ_APT_PF_CAN_1,2017-04,2018-03,7.82
ANZ_APT_PF_CAN_1,2017-04,2018-04,7.74
ANZ_APT_PF_CAN_1,2017-04,2018-05,7.34
ANZ_APT_PF_CAN_1,2017-04,2018-06,7.82
ANZ_APT_PF_CAN_1,2017-04,2018-07,7.34
ANZ_APT_PF_CAN_1,2017-04,2018-08,7.34
ANZ_APT_PF_CAN_1,2017-04,2018-09,7.34
ANZ_APT_PF_CAN_1,2017-04,2018-10,7.34
ANZ_APT_PF_CAN_1,2017-04,2018-11,10.52
ANZ_APT_PF_CAN_1,2017-04,2018-12,7.34
