,date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution
0,2016-01-01,AC1,AC,85100.0,,,7054.47705078125,82063.0,,,,,5163.0
1,2016-01-01,AC2,AC,96270.0,,,7054.47705078125,127923.0,,,,,5163.0
2,2016-01-01,AC3,AC,317892.0,,,7054.47705078125,347308.0,,,,,5163.0
3,2016-01-01,AC4,AC,43050.0,,,7054.47705078125,35545.0,,,,,5163.0
4,2016-01-01,NC1,NC,109587.0,,,4796.49951171875,162712.0,,,,,5953.0
5,2016-01-01,NC2,NC,126885.0,,,4796.49951171875,152672.0,,,,,5953.0
6,2016-01-01,NC3,NC,625363.0,,,4796.49951171875,205607.0,,,,,5953.0
7,2016-01-01,NC4,NC,53570.0,,,4796.49951171875,65769.0,,,,,5953.0
8,2016-02-01,AC1,AC,68356.0,,,4423.21142578125,71625.0,,,,,4694.0
9,2016-02-01,AC2,AC,59789.0,,,4423.21142578125,69507.0,,,,,4694.0
10,2016-02-01,AC3,AC,175257.0,,,4423.21142578125,267067.0,,,,,4694.0
11,2016-02-01,AC4,AC,25480.0,,,4423.21142578125,27036.0,,,,,4694.0
12,2016-02-01,NC1,NC,76001.0,,,4680.5791015625,75835.0,,,,,5448.0
13,2016-02-01,NC2,NC,85542.0,,,4680.5791015625,62790.0,,,,,5448.0
14,2016-02-01,NC3,NC,305757.0,,,4680.5791015625,252589.0,,,,,5448.0
15,2016-02-01,NC4,NC,33433.0,,,4680.5791015625,39823.0,,,,,5448.0
16,2016-03-01,AC1,AC,85489.0,,,5554.443359375,73197.0,,,,,5801.0
17,2016-03-01,AC2,AC,98411.0,,,5554.443359375,77279.0,,,,,5801.0
18,2016-03-01,AC3,AC,310841.0,,,5554.443359375,363417.0,,,,,5801.0
19,2016-03-01,AC4,AC,41923.0,,,5554.443359375,77428.0,,,,,5801.0
20,2016-03-01,NC1,NC,114558.0,,,5973.99365234375,121126.0,,,,,7090.0
21,2016-03-01,NC2,NC,167661.0,,,5973.99365234375,155484.0,,,,,7090.0
22,2016-03-01,NC3,NC,626517.0,,,5973.99365234375,605490.0,,,,,7090.0
23,2016-03-01,NC4,NC,58079.0,,,5973.99365234375,61122.0,,,,,7090.0
24,2016-04-01,AC1,AC,97836.0,,,14981.3203125,129062.0,,,,,6268.0
25,2016-04-01,AC2,AC,113975.0,,,14981.3203125,100545.0,,,,,6268.0
26,2016-04-01,AC3,AC,361824.0,,,14981.3203125,300266.0,,,,,6268.0
27,2016-04-01,AC4,AC,51715.0,,,14981.3203125,45772.0,,,,,6268.0
28,2016-04-01,NC1,NC,99669.0,,,19555.6015625,22312.0,,,,,6634.0
29,2016-04-01,NC2,NC,126472.0,,,19555.6015625,87253.0,,,,,6634.0
30,2016-04-01,NC3,NC,527059.0,,,19555.6015625,463872.0,,,,,6634.0
31,2016-04-01,NC4,NC,54016.0,,,19555.6015625,85632.0,,,,,6634.0
32,2016-05-01,AC1,AC,83884.0,,,36136.3671875,14056.0,,,,,6167.0
33,2016-05-01,AC2,AC,140284.0,,,36136.3671875,117969.0,,,,,6167.0
34,2016-05-01,AC3,AC,308042.0,,,36136.3671875,412464.0,,,,,6167.0
35,2016-05-01,AC4,AC,42289.0,,,36136.3671875,40705.0,,,,,6167.0
36,2016-05-01,NC1,NC,91714.0,,,27711.0234375,112635.0,,,,,7082.0
