date,sku,brand,offtake_dc,osa,csl,anp,sellin_dc,sp_inv_dc,sellout,sellout_revenue,sellout_price,store_distribution,stage,quantity,pos_value,price
1/1/2016,AC1,AC,85100,NA,NA,7054.477051,82063,NA,NA,NA,NA,5163,AC1,85100,14391.7,169.1151586
1/1/2016,AC2,AC,96270,NA,NA,7054.477051,127923,NA,NA,NA,NA,5163,AC2,96270,16274.86,169.0543264
1/1/2016,AC3,AC,317892,NA,NA,7054.477051,347308,NA,NA,NA,NA,5163,AC3,317892,50522.78,158.9306431
1/1/2016,AC4,AC,43050,NA,NA,7054.477051,35545,NA,NA,NA,NA,5163,AC4,43050,6836.03,158.7927991
1/1/2016,NC1,NC,109587,NA,NA,4796.499512,162712,NA,NA,NA,NA,5953,NC1,109587,13304.75,121.408105
1/1/2016,NC2,NC,126885,NA,NA,4796.499512,152672,NA,NA,NA,NA,5953,NC2,126885,17353.98,136.7693581
1/1/2016,NC3,NC,625363,NA,NA,4796.499512,205607,NA,NA,NA,NA,5953,NC3,625363,78449.5,125.4463408
1/1/2016,NC4,NC,53570,NA,NA,4796.499512,65769,NA,NA,NA,NA,5953,NC4,53570,6673.38,124.5730819
2/1/2016,AC1,AC,68356,NA,NA,4423.211426,71625,NA,NA,NA,NA,4694,AC1,68356,11556.57,169.0644567
2/1/2016,AC2,AC,59789,NA,NA,4423.211426,69507,NA,NA,NA,NA,4694,AC2,59789,10108.48,169.0692268
2/1/2016,AC3,AC,175257,NA,NA,4423.211426,267067,NA,NA,NA,NA,4694,AC3,175257,27835.71,158.8279498
2/1/2016,AC4,AC,25480,NA,NA,4423.211426,27036,NA,NA,NA,NA,4694,AC4,25480,4051.89,159.0223705
2/1/2016,NC1,NC,76001,NA,NA,4680.579102,75835,NA,NA,NA,NA,5448,NC1,76001,9228.99,121.4324812
2/1/2016,NC2,NC,85542,NA,NA,4680.579102,62790,NA,NA,NA,NA,5448,NC2,85542,11689.2,136.6486638
2/1/2016,NC3,NC,305757,NA,NA,4680.579102,252589,NA,NA,NA,NA,5448,NC3,305757,38317.93,125.3215135
2/1/2016,NC4,NC,33433,NA,NA,4680.579102,39823,NA,NA,NA,NA,5448,NC4,33433,4188.46,125.2792151
3/1/2016,AC1,AC,85489,NA,NA,5554.443359,73197,NA,NA,NA,NA,5801,AC1,85489,14451.19,169.0415141
3/1/2016,AC2,AC,98411,NA,NA,5554.443359,77279,NA,NA,NA,NA,5801,AC2,98411,16627.66,168.9613966
3/1/2016,AC3,AC,310841,NA,NA,5554.443359,363417,NA,NA,NA,NA,5801,AC3,310841,49375.81,158.845873
3/1/2016,AC4,AC,41923,NA,NA,5554.443359,77428,NA,NA,NA,NA,5801,AC4,41923,6664.08,158.9599981
3/1/2016,NC1,NC,114558,NA,NA,5973.993652,121126,NA,NA,NA,NA,7090,NC1,114558,13911.24,121.4340334
3/1/2016,NC2,NC,167661,NA,NA,5973.993652,155484,NA,NA,NA,NA,7090,NC2,167661,22891.55,136.5347338
3/1/2016,NC3,NC,626517,NA,NA,5973.993652,605490,NA,NA,NA,NA,7090,NC3,626517,78486.72,125.2746853
3/1/2016,NC4,NC,58079,NA,NA,5973.993652,61122,NA,NA,NA,NA,7090,NC4,58079,7264.47,125.0791164
4/1/2016,AC1,AC,97836,NA,NA,14981.32031,129062,NA,NA,NA,NA,6268,AC1,97836,16544.56,169.1050329
4/1/2016,AC2,AC,113975,NA,NA,14981.32031,100545,NA,NA,NA,NA,6268,AC2,113975,19255.91,168.9485413
4/1/2016,AC3,AC,361824,NA,NA,14981.32031,300266,NA,NA,NA,NA,6268,AC3,361824,57417.63,158.6893904
4/1/2016,AC4,AC,51715,NA,NA,14981.32031,45772,NA,NA,NA,NA,6268,AC4,51715,8216.5,158.8804022
4/1/2016,NC1,NC,99669,NA,NA,19555.60156,22312,NA,NA,NA,NA,6634,NC1,99669,12100.73,121.4091643
4/1/2016,NC2,NC,126472,NA,NA,19555.60156,87253,NA,NA,NA,NA,6634,NC2,126472,17237.01,136.2911158
4/1/2016,NC3,NC,527059,NA,NA,19555.60156,463872,NA,NA,NA,NA,6634,NC3,527059,66229.09,125.6578296
4/1/2016,NC4,NC,54016,NA,NA,19555.60156,85632,NA,NA,NA,NA,6634,NC4,54016,6761.03,125.1671727
5/1/2016,AC1,AC,83884,NA,NA,36136.36719,14056,NA,NA,NA,NA,6167,AC1,83884,14185.54,169.1090077
5/1/2016,AC2,AC,140284,NA,NA,36136.36719,117969,NA,NA,NA,NA,6167,AC2,140284,23699.97,168.9427875
5/1/2016,AC3,AC,308042,NA,NA,36136.36719,412464,NA,NA,NA,NA,6167,AC3,308042,48948.93,158.9034288
5/1/2016,AC4,AC,42289,NA,NA,36136.36719,40705,NA,NA,NA,NA,6167,AC4,42289,6718.19,158.8637707
5/1/2016,NC1,NC,91714,NA,NA,27711.02344,112635,NA,NA,NA,NA,7082,NC1,91714,11133.47,121.3933533
5/1/2016,NC2,NC,174718,NA,NA,27711.02344,92565,NA,NA,NA,NA,7082,NC2,174718,23851.36,136.5134674
5/1/2016,NC3,NC,631983,NA,NA,27711.02344,976080,NA,NA,NA,NA,7082,NC3,631983,79372.55,125.5928561
5/1/2016,NC4,NC,61090,NA,NA,27711.02344,60114,NA,NA,NA,NA,7082,NC4,61090,7641.33,125.083156
6/1/2016,AC1,AC,78421,NA,NA,30825.29883,61086,NA,NA,NA,NA,6902,AC1,78421,13259.13,169.0762678
6/1/2016,AC2,AC,68995,NA,NA,30825.29883,87438,NA,NA,NA,NA,6902,AC2,68995,11664.54,169.0635553
6/1/2016,AC3,AC,418726,NA,NA,30825.29883,189120,NA,NA,NA,NA,6902,AC3,418726,66900.51,159.771569
6/1/2016,AC4,AC,57468,NA,NA,30825.29883,53640,NA,NA,NA,NA,6902,AC4,57468,9173.23,159.6232686
6/1/2016,NC1,NC,119416,NA,NA,27888.24609,130392,NA,NA,NA,NA,7807,NC1,119416,14498.61,121.4126248
6/1/2016,NC2,NC,88043,NA,NA,27888.24609,136818,NA,NA,NA,NA,7807,NC2,88043,12040.69,136.7591972
6/1/2016,NC3,NC,747545,NA,NA,27888.24609,616716,NA,NA,NA,NA,7807,NC3,747545,94483.85,126.3921904
6/1/2016,NC4,NC,87633,NA,NA,27888.24609,85728,NA,NA,NA,NA,7807,NC4,87633,11025.74,125.817215
7/1/2016,AC1,AC,100438,NA,NA,9544.845703,118868,NA,NA,NA,NA,6958,AC1,100438,16979.2,169.0515542
7/1/2016,AC2,AC,81247,NA,NA,9544.845703,51720,NA,NA,NA,NA,6958,AC2,81247,13740.9,169.1250138
7/1/2016,AC3,AC,331848,NA,NA,9544.845703,377478,NA,NA,NA,NA,6958,AC3,331848,53074.66,159.9366577
7/1/2016,AC4,AC,36745,NA,NA,9544.845703,35705,NA,NA,NA,NA,6958,AC4,36745,5847.37,159.1337597
7/1/2016,NC1,NC,109182,NA,NA,8102.100098,140682,NA,NA,NA,NA,7350,NC1,109182,13251.31,121.3689986
7/1/2016,NC2,NC,117907,NA,NA,8102.100098,98397,NA,NA,NA,NA,7350,NC2,117907,16125.88,136.7677916
7/1/2016,NC3,NC,373536,NA,NA,8102.100098,493657,NA,NA,NA,NA,7350,NC3,373536,46981.89,125.7760698
7/1/2016,NC4,NC,52184,NA,NA,8102.100098,69188,NA,NA,NA,NA,7350,NC4,52184,6542.58,125.3752108
8/1/2016,AC1,AC,103942,NA,NA,25882.50781,121684,NA,NA,NA,NA,7492,AC1,103942,17574.56,169.0804487
8/1/2016,AC2,AC,104473,NA,NA,25882.50781,67575,NA,NA,NA,NA,7492,AC2,104473,17670.83,169.1425536
8/1/2016,AC3,AC,418723,NA,NA,25882.50781,417505,NA,NA,NA,NA,7492,AC3,418723,66656.71,159.1904672
8/1/2016,AC4,AC,60684,NA,NA,25882.50781,54221,NA,NA,NA,NA,7492,AC4,60684,9644.92,158.9367873
8/1/2016,NC1,NC,102577,NA,NA,10749.77539,106840,NA,NA,NA,NA,7844,NC1,102577,12448.19,121.3545922
8/1/2016,NC2,NC,119792,NA,NA,10749.77539,106966,NA,NA,NA,NA,7844,NC2,119792,16391.8,136.8355149
