sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
ANZ_APT_PF_1,ANZ,APT,PF,1,IF,1/1/2015,0,17.80676489,17.80676489,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_2,ANZ,APT,PF,2,FO,1/1/2015,0,19.50152536,19.50152536,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_3,ANZ,APT,PF,3,GUM,1/1/2015,0,47.62756034,47.62756034,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_4,ANZ,APT,PF,4,GUM,1/1/2015,0,0.622308488,0.622308488,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_1,ANZ,APT,PN,1,IF,1/1/2015,0,96.90118094,96.90118094,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_2,ANZ,APT,PN,2,FO,1/1/2015,0,116.1793686,116.1793686,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_3,ANZ,APT,PN,3,GUM,1/1/2015,0,311.2730662,311.2730662,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_4,ANZ,APT,PN,4,GUM,1/1/2015,0,122.0373789,122.0373789,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_1,ANZ,KC,GD,1,IF,1/1/2015,0,18.46045901,18.46045901,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_2,ANZ,KC,GD,2,FO,1/1/2015,0,26.01782729,26.01782729,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_3,ANZ,KC,GD,3,GUM,1/1/2015,0,82.53485883,82.53485883,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_4,ANZ,KC,GD,4,GUM,1/1/2015,0,37.27489396,37.27489396,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_1,ANZ,KC,GT,1,IF,1/1/2015,0,15.74285734,15.74285734,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_2,ANZ,KC,GT,2,FO,1/1/2015,0,35.14221161,35.14221161,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_3,ANZ,KC,GT,3,GUM,1/1/2015,0,17.66342017,17.66342017,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_1,DE,APT,PF,1,IF,1/1/2015,0,5.646287121,5.646287121,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_2,DE,APT,PF,2,FO,1/1/2015,0,19.03098457,19.03098457,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_PRE,DE,APT,PF,PRE,IF,1/1/2015,0,8.360268444,8.360268444,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_1,DE,APT,PN,1,IF,1/1/2015,0,177.8702499,177.8702499,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_2,DE,APT,PN,2,FO,1/1/2015,0,218.1335148,218.1335148,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_3,DE,APT,PN,3,FO,1/1/2015,0,215.4793064,215.4793064,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_4,DE,APT,PN,4,GUM,1/1/2015,0,208.3846156,208.3846156,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_5,DE,APT,PN,5,GUM,1/1/2015,0,231.2017226,231.2017226,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_PRE,DE,APT,PN,PRE,IF,1/1/2015,0,171.9907735,171.9907735,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_1,NL,NC,PN,1,IF,1/1/2015,0,379.5987592,379.5987592,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_2,NL,NC,PN,2,FO,1/1/2015,0,348.1659985,348.1659985,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_3,NL,NC,PN,3,FO,1/1/2015,0,308.0696731,308.0696731,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_4,NL,NC,PN,4,GUM,1/1/2015,0,507.9644264,507.9644264,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_5,NL,NC,PN,5,GUM,1/1/2015,0,303.3221026,303.3221026,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
NL_NC_PN_6,NL,NC,PN,6,GUM,1/1/2015,0,17.23676821,17.23676821,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PF_1,UK,APT,PF,1,IF,1/1/2015,0,0,0,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PF_2,UK,APT,PF,2,FO,1/1/2015,0,0,0,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PF_3,UK,APT,PF,3,GUM,1/1/2015,0,0,0,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PN_1,UK,APT,PN,1,IF,1/1/2015,0,107.0878088,107.0878088,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PN_2,UK,APT,PN,2,FO,1/1/2015,0,88.12642529,88.12642529,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PN_3,UK,APT,PN,3,GUM,1/1/2015,0,146.4331136,146.4331136,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_APT_PN_4,UK,APT,PN,4,GUM,1/1/2015,0,124.9849835,124.9849835,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_C&G_C&G_1,UK,C&G,C&G,1,IF,1/1/2015,0,68.02884614,68.02884614,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_C&G_C&G_2,UK,C&G,C&G,2,FO,1/1/2015,0,50.37608185,50.37608185,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_C&G_C&G_3,UK,C&G,C&G,3,GUM,1/1/2015,0,99.30158968,99.30158968,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
UK_C&G_C&G_4,UK,C&G,C&G,4,GUM,1/1/2015,0,102.9795409,102.9795409,,,,,,,,,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2/1/2015,0,26.27708428,26.27708428,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PF_2,ANZ,APT,PF,2,FO,2/1/2015,0,23.28406291,23.28406291,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PF_3,ANZ,APT,PF,3,GUM,2/1/2015,0,28.30607729,28.30607729,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PF_4,ANZ,APT,PF,4,GUM,2/1/2015,0,0,0,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PN_1,ANZ,APT,PN,1,IF,2/1/2015,0,66.54921438,66.54921438,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PN_2,ANZ,APT,PN,2,FO,2/1/2015,0,64.48978051,64.48978051,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PN_3,ANZ,APT,PN,3,GUM,2/1/2015,0,156.865089,156.865089,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_APT_PN_4,ANZ,APT,PN,4,GUM,2/1/2015,0,86.86496158,86.86496158,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GD_1,ANZ,KC,GD,1,IF,2/1/2015,0,16.16349996,16.16349996,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GD_2,ANZ,KC,GD,2,FO,2/1/2015,0,16.27640298,16.27640298,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GD_3,ANZ,KC,GD,3,GUM,2/1/2015,0,53.49757328,53.49757328,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GD_4,ANZ,KC,GD,4,GUM,2/1/2015,0,35.13480319,35.13480319,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GT_1,ANZ,KC,GT,1,IF,2/1/2015,0,10.82305561,10.82305561,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GT_2,ANZ,KC,GT,2,FO,2/1/2015,0,26.99888017,26.99888017,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
ANZ_KC_GT_3,ANZ,KC,GT,3,GUM,2/1/2015,0,29.89698889,29.89698889,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PF_1,DE,APT,PF,1,IF,2/1/2015,0,6.610658199,6.610658199,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PF_2,DE,APT,PF,2,FO,2/1/2015,0,13.4254579,13.4254579,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PF_PRE,DE,APT,PF,PRE,IF,2/1/2015,0,7.168018255,7.168018255,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_1,DE,APT,PN,1,IF,2/1/2015,0,134.823464,134.823464,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_2,DE,APT,PN,2,FO,2/1/2015,0,169.3239809,169.3239809,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_3,DE,APT,PN,3,FO,2/1/2015,0,183.52458,183.52458,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_4,DE,APT,PN,4,GUM,2/1/2015,0,183.6669323,183.6669323,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_5,DE,APT,PN,5,GUM,2/1/2015,0,209.6511809,209.6511809,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
DE_APT_PN_PRE,DE,APT,PN,PRE,IF,2/1/2015,0,127.9702029,127.9702029,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_1,NL,NC,PN,1,IF,2/1/2015,0,260.5110678,260.5110678,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_2,NL,NC,PN,2,FO,2/1/2015,0,240.7668614,240.7668614,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_3,NL,NC,PN,3,FO,2/1/2015,0,237.5616886,237.5616886,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_4,NL,NC,PN,4,GUM,2/1/2015,0,343.5389697,343.5389697,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_5,NL,NC,PN,5,GUM,2/1/2015,0,211.7171956,211.7171956,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
NL_NC_PN_6,NL,NC,PN,6,GUM,2/1/2015,0,10.77924747,10.77924747,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_APT_PF_1,UK,APT,PF,1,IF,2/1/2015,0,0,0,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_APT_PF_2,UK,APT,PF,2,FO,2/1/2015,0,0,0,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_APT_PF_3,UK,APT,PF,3,GUM,2/1/2015,0,0,0,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_APT_PN_1,UK,APT,PN,1,IF,2/1/2015,0,99.79483052,99.79483052,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
UK_APT_PN_2,UK,APT,PN,2,FO,2/1/2015,0,78.0589027,78.0589027,,,,,,,,,,,,32622.74305,7702.106242,7981.975853,16938.66095,27172.17555,5450.567497,968.70722,713.8548,3283.47062,0
