country,sku_wo_pkg,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il,total_vol_old,if_vol_old,fo_vol_old,gum_vol_old,cl_vol_old,il_vol_old,0to6_month_population_old,6to12_month_population_old,12to36_month_population_old,uprep_old,upre_old,spre_old,mainstream_old,APT_si,C&G_si,Feihe_si,Friso_si,KC_si,NC_si,Weyth_si,brand_si,raw,brand_price,anp,tp,rebate,tp_rebate,sc_anp,sc_ts,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,uprep,upre,spre,mainstream
ANZ,ANZ_APT_PF_1,APT,PF,1,IF,1/1/2015,0,17.80676489,17.80676489,0,,0,,0,,,257.0277231,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PF_2,APT,PF,2,FO,1/1/2015,0,19.50152536,19.50152536,0,,0,,0,,,216.44389,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PF_3,APT,PF,3,GUM,1/1/2015,0,47.62756034,47.62756034,0,,0,,0,,,206.2052393,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PF_4,APT,PF,4,GUM,1/1/2015,0,0.622308488,0.622308488,0,,0,,0,,,213.2444444,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PN_1,APT,PN,1,IF,1/1/2015,0,96.90118094,96.90118094,0,,0,,0,,,205.8188125,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PN_2,APT,PN,2,FO,1/1/2015,0,116.1793686,116.1793686,0,,0,,0,,,208.6722711,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PN_3,APT,PN,3,GUM,1/1/2015,0,311.2730662,311.2730662,0,,0,,0,,,174.9895023,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_APT_PN_4,APT,PN,4,GUM,1/1/2015,0,122.0373789,122.0373789,0,,0,,0,,,197.1440062,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,184110,1/1/2015,214.180293,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GD_1,KC,GD,1,IF,1/1/2015,0,18.46045901,18.46045901,0,,0,,0,,,215.0242729,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
ANZ,ANZ_KC_GD_2,KC,GD,2,FO,1/1/2015,0,26.01782729,26.01782729,0,,0,,0,,,209.4624746,,,,841.0916667,843.8,3278.441667,0,39890.2058,9187.71515,9230.369955,21472.1207,31446.93313,8443.272669,841.0916667,843.8,3278.441667,798.5289524,3612.80397,18283.99001,17194.20212,184110,118985,99607,97294,58465,71182,60507,58465,1/1/2015,237.6230742,,,,,,,44838.10118,10887.26669,10748.46211,23202.37238,36325.29701,8512.804173,1398.383866,4253.043967,20232.26173,18578.076
