SKU_Key,Group,Country,Brand,Brand_acc,Sub-brand,SKU,Stage,Description CN,Description EN
NC1,IL,NL,Nutrilon,NC,NC,NC PN 1,IF,诺优能（荷兰牛栏）1段,NUTRILON 1 NL 6X850G
NC2,IL,NL,Nutrilon,NC,NC,NC PN 2,FO,诺优能（荷兰牛栏）2段,NUTRILON 2 NL 850G
NC3,IL,NL,Nutrilon,NC,NC,NC PN 3,FO,诺优能（荷兰牛栏）3段,NUTRILON STANDAARD 3 NL 4X800G
NC4,IL,NL,Nutrilon,NC,NC,NC PN 4,GUM,诺优能（荷兰牛栏）4段,NUTRILON 4 DREUMESMELK NL 4X800G
NC5,IL,NL,Nutrilon,NC,NC,NC PN 5,GUM,诺优能（荷兰牛栏）5段,NUTRILON PEUTERMELK 5 4X 800G
NC6,IL,NL,Nutrilon,NC,NC,NC PN 6,GUM,诺优能（荷兰牛栏）6段,NUTRILON 6 6X400G NL
DE PN PRE,IL,DE,Aptamil,APT,DE PN,DE PN PRE,IF,德国爱他美PRE段,APTAMIL PRE 4X800G D
DE PN1,IL,DE,Aptamil,APT,DE PN,DE PN1,IF,德国爱他美1段,APTAMIL 1 4X800G D
DE PN2,IL,DE,Aptamil,APT,DE PN,DE PN2,FO,德国爱他美2段,APTAMIL 2 D 4X800G
DE PN3,IL,DE,Aptamil,APT,DE PN,DE PN3,FO,德国爱他美3段,APTAMIL 3 D 4X800G
DE PN4,IL,DE,Aptamil,APT,DE PN,DE PN4,GUM,德国爱他美4段 (1岁以上),APTAMIL_GUM__1_BIB_5X(1X600 G)
DE PN5,IL,DE,Aptamil,APT,DE PN,DE PN5,GUM,德国爱他美5段 (2岁以上),APTAMIL_GUM__2_BIB_5X(1X600 G)
DE PF PRE,IL,DE,Aptamil,APT,DE PF,DE PF PRE,IF,德国爱他美白金版pre段,APTAMIL PROFUTURA PRE 4X800G D
DE PF1,IL,DE,Aptamil,APT,DE PF,DE PF1,IF,德国爱他美白金版1段,APTAMIL PROFUTURA 1 4X800G D
DE PF2,IL,DE,Aptamil,APT,DE PF,DE PF2,FO,德国爱他美白金版2段,APTAMIL PROFUTURA 2 4X800G D
UK APT  PN 1,IL,UK,Aptamil,APT,UK APT  PN,UK APT  PN 1,IF,英国爱他美1段,APT IMF POWD FIRST INFANT MILK 6X900G
UK APT  PN 2,IL,UK,Aptamil,APT,UK APT  PN,UK APT  PN 2,FO,英国爱他美2段,APT IMF POWD FOLLOW ON MILK 6X900G
UK APT  PN 3,IL,UK,Aptamil,APT,UK APT  PN,UK APT  PN 3,GUM,英国爱他美3段 (1岁以上),APT IMF POWD GROWING UP MILK 1YR 6X900G
UK APT  PN 4,IL,UK,Aptamil,APT,UK APT  PN,UK APT  PN 4,GUM,英国爱他美4段 (2岁以上),APT IMF POWD GROWING UP MILK 2YR 6X800G
UK APT  PF 1,IL,UK,Aptamil,APT,UK APT  PF,UK APT  PF 1,IF,英国爱他美白金版1段,APT PROFUTURA FIRST 4X800G JWB UK
UK APT  PF 2,IL,UK,Aptamil,APT,UK APT  PF,UK APT  PF 2,FO,英国爱他美白金版2段,APT PROFUTURA FOLLOW ON 4X800G JWB UK
UK APT  PF 3,IL,UK,Aptamil,APT,UK APT  PF,UK APT  PF 3,GUM,英国爱他美白金版3段,APT PROFUTURA GROW UP MILK 4X800G JWB UK
UK C&G 1,IL,UK,C&G,C&G,UK C&G,UK C&G 1,IF,英国牛栏1段,CG IMF POWD FIRST INFANT MILK 6X900G
UK C&G 2,IL,UK,C&G,C&G,UK C&G,UK C&G 2,FO,英国牛栏2段,CG IMF POWD FOLLOW ON MILK 6X900G
UK C&G 3,IL,UK,C&G,C&G,UK C&G,UK C&G 3,GUM,英国牛栏3段 (1岁以上),CG IMF POWD GROWING UP MILK 1YR 6X900G
UK C&G 4,IL,UK,C&G,C&G,UK C&G,UK C&G 4,GUM,英国牛栏4段 (2岁以上),CG IMF POWD GROWING UP MILK 2YR 6X800G
ANZ APT  PN1,IL,ANZ,Aptamil,APT,ANZ APT  PN,ANZ APT  PN1,IF,澳洲金装爱他美1段,APT GOLD+PRONUTRA IF FORMULA 6X900G
ANZ APT  PN2,IL,ANZ,Aptamil,APT,ANZ APT  PN,ANZ APT  PN2,FO,澳洲金装爱他美2段,APT PRONUTRA FO FORMULA 3X900G
ANZ APT  PN3,IL,ANZ,Aptamil,APT,ANZ APT  PN,ANZ APT  PN3,GUM,澳洲金装爱他美3段,APT PRONUTRA TOD GUM 3X900G
ANZ APT  PN4,IL,ANZ,Aptamil,APT,ANZ APT  PN,ANZ APT  PN4,GUM,澳洲金装爱他美4段,APT GOLD+PRONUTRA JUN GUM 3X900G
ANZ APT  PF 1,IL,ANZ,Aptamil,APT,ANZ APT  PF,ANZ APT  PF 1,IF,澳洲爱他美白金1段,APT PROFUTURA IF FORMULA 3X900G
ANZ APT  PF 2,IL,ANZ,Aptamil,APT,ANZ APT  PF,ANZ APT  PF 2,FO,澳洲爱他美白金2段,APT PROFUTRA FO FORMULA 3X900G
ANZ APT  PF 3,IL,ANZ,Aptamil,APT,ANZ APT  PF,ANZ APT  PF 3,GUM,澳洲爱他美白金3段,APT PROFUTRA TOD GUM 3X900G
