Brand,Brand_acc,,Tier,Tier_acc,,Stage,Stage_acc,,Package,Package_acc,,SKU_wo_pkg,Stage_text,,SKU_std,Format (g),,,SKU_std,SKU_wo_pkg,Scope,,SKU_std,SKU_wo_pkg,Scope,SKU_std,SKU_wo_pkg,SKU No
Aptamil,APT,,Pronutra,PN,,S1,1,,CAN,CAN,,ANZ_APT_PF_1,IF,,ANZ_APT_PF_CAN_1,900,,,ANZ_APT_PF_CAN_1,ANZ_APT_PF_1,EIB,,ANZ_APT_PF_CAN_1,ANZ_APT_PF_1,DI,ANZ_APT_PN_CAN_1,ANZ_APT_PN_1,21962
Cow&Gate,C&G,,C&G,C&G,,S2,2,,JB,JB,,ANZ_APT_PF_2,FO,,ANZ_APT_PF_CAN_2,900,,,ANZ_APT_PF_CAN_2,ANZ_APT_PF_2,EIB,,ANZ_APT_PF_CAN_2,ANZ_APT_PF_2,DI,ANZ_APT_PN_CAN_2,ANZ_APT_PN_2,22962
Nutrilon,NC,,Profutura,PF,,S3,3,,EZP,EZP,,ANZ_APT_PF_3,GUM,,ANZ_APT_PF_CAN_3,900,,,ANZ_APT_PF_CAN_3,ANZ_APT_PF_3,EIB,,ANZ_APT_PF_CAN_3,ANZ_APT_PF_3,DI,ANZ_APT_PN_CAN_3,ANZ_APT_PN_3,23962
Karicare,KC,,Plus,PL,,S4,4,,BIB,BIB,,ANZ_APT_PF_4,GUM,,ANZ_APT_PF_CAN_4,900,,,ANZ_APT_PF_CAN_4,ANZ_APT_PF_4,EIB,,ANZ_APT_PF_CAN_4,ANZ_APT_PF_4,DI,ANZ_APT_PN_CAN_4,ANZ_APT_PN_4,24932
TN,TN,,Goat,GT,,S5,5,,JWB,JB,,ANZ_APT_PN_1,IF,,ANZ_APT_PN_CAN_1,900,,,ANZ_APT_PN_CAN_1,ANZ_APT_PN_1,EIB,,ANZ_APT_PN_CAN_1,ANZ_APT_PN_1,DI,ANZ_APT_PF_CAN_1,ANZ_APT_PF_1,41930
NC,NC,,Gold,GD,,S6,6,,,,,ANZ_APT_PN_2,FO,,ANZ_APT_PN_CAN_2,900,,,ANZ_APT_PN_CAN_2,ANZ_APT_PN_2,EIB,,ANZ_APT_PN_CAN_2,ANZ_APT_PN_2,DI,ANZ_APT_PF_CAN_2,ANZ_APT_PF_2,42930
AP,APT,,TN,TN,,Pregomin,PREG,,,,,ANZ_APT_PN_3,GUM,,ANZ_APT_PN_CAN_3,900,,,ANZ_APT_PN_CAN_3,ANZ_APT_PN_3,EIB,,ANZ_APT_PN_CAN_3,ANZ_APT_PN_3,DI,ANZ_APT_PF_CAN_3,ANZ_APT_PF_3,43930
AC,AC,,PN,PN,,Pepti,PEP,,,,,ANZ_APT_PN_4,GUM,,ANZ_APT_PN_CAN_4,900,,,ANZ_APT_PN_CAN_4,ANZ_APT_PN_4,EIB,,ANZ_APT_PN_CAN_4,ANZ_APT_PN_4,DI,ANZ_APT_PF_CAN_4,ANZ_APT_PF_4,44930
C&G,C&G,,PF,PF,,Pregomin AS,PREA,,,,,ANZ_KC_GD_1,IF,,ANZ_KC_GD_CAN_1,900,,,ANZ_KC_GD_CAN_1,ANZ_KC_GD_1,EIB,,DE_APT_PF_JB_1,DE_APT_PF_1,DI,DE_APT_PN_CAN_PREG,DE_APT_PN_PREG,56797
Cow & Gate,C&G,,PL,PL,,Pre,PRE,,,,,ANZ_KC_GD_2,FO,,ANZ_KC_GD_CAN_2,900,,,ANZ_KC_GD_CAN_2,ANZ_KC_GD_2,EIB,,DE_APT_PF_JB_2,DE_APT_PF_2,DI,DE_APT_PN_CAN_PEP,DE_APT_PN_PEP,56798
