Customer,Name 1,Pre.ac.no.
950219456,南昌市名优食品有限公司,0002402594
950217765,UNIQUE FOODS AND FAMILY OVERSEAS,0002104867
950219333,上海优壹电子商务有限公司,0002105196
950219334,上海优壹电子商务有限公司,0002104486
950219375,上海新邦生物科技有限公司,0002103191
950219376,上海易初莲花连锁超市有限公司,0002100438
950219377,上海红马饲料有限公司,0002103467
950219378,中山市宝昊贸易有限公司,0002105176
950219379,乌鲁木齐市诚成商贸有限责任公司,0002100632
950219380,保正（上海）供应链管理股份有限公司,0002105170
950219381,兰州天赐佳宝商贸有限责任公司,0002104561
950219382,北京东华盛商贸有限责任公司,0002102970
950219383,华润万家有限公司,0002104856
950219384,华润万家生活超市（浙江）有限公司,0002104857
950219385,南昌市名优食品有限公司,0002100550
950219386,呼和浩特市鸿泰商贸有限责任公司,0002100571
950219387,哈尔滨阿华多美商贸有限责任公司,0002100591
950219388,大连禧丰禄贸易有限公司,0002104511
950219389,宁波优壹宝贝电子商务有限公司,0002104636
950219390,宁波优壹宝贝电子商务有限公司,0002104701
950219391,宁波优壹宝贝电子商务有限公司,0002104901
950219393,家乐福（上海）供应链管理有限公司东莞分公司,0002105011
950219394,家乐福（上海）供应链管理有限公司天津分公司,0002104891
950219395,家乐福（上海）供应链管理有限公司成都分公司,0002104841
950219396,家乐福（上海）供应链管理有限公司昆山分公司,0002104842
950219397,家乐福（上海）供应链管理有限公司沈阳分公司,0002105041
950219398,家乐福（上海）供应链管理有限公司鄂州分公司,0002104871
950219399,家家悦集团股份有限公司,0002100525
950219400,山东九州商业集团有限公司,0002100520
950219401,山东格高商贸有限公司,0002105169
950219402,山东潍坊百货集团股份有限公司中百配送中心,0002100524
950219403,广州市汇儿贸易有限公司,0002105071
950219404,康德乐（上海）医药有限公司,0002104902
950219405,康成投资（中国）有限公司,0002101876
950219406,广东润华商业有限公司,0002103656
950219407,昆明悦鑫商贸有限公司,0002100631
950219408,桂林市嘉乐禧贸易有限责任公司,0002104811
950219409,欧尚（中国）投资有限公司,0002100760
950219410,武汉友谊副食品商业有限责任公司,0002104501
950219411,武汉大润发江汉超市发展有限公司,0002104858
950219412,武汉市生泰副食有限责任公司,0002100594
950219413,武汉武商超市管理有限公司（DO NOT USE）,0002103343
950219414,汕头市华盛贸易有限公司,0002105148
950219415,江西东万晟实业有限公司,0002105061
950219416,沃尔玛（中国）投资有限公司,0002100778
950219417,济南历下大润发商贸有限公司,0002103378
950219418,浙江爱婴室物流有限公司,0002104916
950219419,海口裕祥隆实业有限公司,0002100647
950219420,深圳市怡亚通供应链股份有限公司,0002104832
950219421,深圳市泰华通实业发展有限公司阳江分公司,0002105072
950219422,湛江市万庆丰贸易有限公司,0002100634
950219423,特易购乐购（中国）投资有限公司嘉善分公司,0002100461
950219424,石家庄市富荣食品有限公司,0002102487
950219425,苏果超市有限公司,0002104881
950219426,郑州市香香贸易有限公司,0002102949
950219427,重庆宝怡商贸有限公司,0002104812
950219428,锦江麦德龙现购自运有限公司,0002100419
950219429,长春百利贸易有限公司,0002104111
950219430,陕西华润万家生活超市有限公司,0002104861
950219431,陕西德毅晟贸易有限公司,0002105201
950219432,陕西霍飞贸易有限公司,0002104732
950219433,青岛东万丰食品有限公司,0002104781
950219434,青岛润泰事业有限公司沈阳分公司,0002103881
950219435,青岛福兴祥商品配送有限公司,0002100529
950219436,上海优壹电子商务有限公司,0002402169
950219437,上海优壹电子商务有限公司,0002402394
950219438,中国外运有限公司,0002400105
