sku_wo_pkg,country,brand,tier,stage,stage_3f,date,offtake_di,offtake_eib,offtake_il,sellin_eib,retailer_inv,sellout,sp_inv,sellin_di,isa,osa,price,price_krmb_per_ton_il,value_krmb_il,volume_ton_il,total_vol,if_vol,fo_vol,gum_vol,cl_vol,il_vol,0to6_month_population,6to12_month_population,12to36_month_population,sellin_il
ANZ_APT_PF_1,ANZ,APT,PF,1,IF,2015/1/1,0,17.80676489,17.80676489,0,,0,,0,,,257.0277231,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_2,ANZ,APT,PF,2,FO,2015/1/1,0,19.50152536,19.50152536,0,,0,,0,,,216.44389,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_3,ANZ,APT,PF,3,GUM,2015/1/1,0,47.62756034,47.62756034,0,,0,,0,,,206.2052393,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PF_4,ANZ,APT,PF,4,GUM,2015/1/1,0,0.622308488,0.622308488,0,,0,,0,,,213.2444444,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_1,ANZ,APT,PN,1,IF,2015/1/1,0,96.90118094,96.90118094,0,,0,,0,,,205.8188125,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_2,ANZ,APT,PN,2,FO,2015/1/1,0,116.1793686,116.1793686,0,,0,,0,,,208.6722711,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_3,ANZ,APT,PN,3,GUM,2015/1/1,0,311.2730662,311.2730662,0,,0,,0,,,174.9895023,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_APT_PN_4,ANZ,APT,PN,4,GUM,2015/1/1,0,122.0373789,122.0373789,0,,0,,0,,,197.1440062,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_1,ANZ,KC,GD,1,IF,2015/1/1,0,18.46045901,18.46045901,0,,0,,0,,,215.0242729,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_2,ANZ,KC,GD,2,FO,2015/1/1,0,26.01782729,26.01782729,0,,0,,0,,,209.4624746,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_3,ANZ,KC,GD,3,GUM,2015/1/1,0,82.53485883,82.53485883,0,,0,,0,,,187.5230577,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GD_4,ANZ,KC,GD,4,GUM,2015/1/1,0,37.27489396,37.27489396,0,,0,,0,,,205.9464263,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_1,ANZ,KC,GT,1,IF,2015/1/1,0,15.74285734,15.74285734,0,,0,,0,,,318.0763278,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_2,ANZ,KC,GT,2,FO,2015/1/1,0,35.14221161,35.14221161,0,,0,,0,,,304.6739899,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
ANZ_KC_GT_3,ANZ,KC,GT,3,GUM,2015/1/1,0,17.66342017,17.66342017,0,,0,,0,,,311.9490378,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_1,DE,APT,PF,1,IF,2015/1/1,0,5.646287121,5.646287121,0,,0,,0,,,279.9707296,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_2,DE,APT,PF,2,FO,2015/1/1,0,19.03098457,19.03098457,0,,0,,0,,,260.3849624,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PF_PRE,DE,APT,PF,PRE,IF,2015/1/1,0,8.360268444,8.360268444,0,,0,,0,,,281.4867972,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_1,DE,APT,PN,1,IF,2015/1/1,0,177.8702499,177.8702499,0,,0,,0,,,231.1564574,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_2,DE,APT,PN,2,FO,2015/1/1,0,218.1335148,218.1335148,0,,0,,0,,,232.6801618,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_3,DE,APT,PN,3,FO,2015/1/1,0,215.4793064,215.4793064,0,,0,,0,,,230.2477916,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
DE_APT_PN_4,DE,APT,PN,4,GUM,2015/1/1,0,208.3846156,208.3846156,0,,0,,0,,,273.2154201,,,,39042.32685,8741.435902,9525.648966,20775.24198,31617.73943,7424.587416,955.47953,729.71824,3279.14799,0
