,index,importance,horizon,date_when_preidct
0,label_country_brand_offtake_sales2,0.13518099055801192,1.0,201901
1,label_country_brand_offtake_sales1,0.34062499262369295,1.0,201901
2,label_country_brand_offtake_sales3,0.06700842369094726,1.0,201901
3,label_country_brand_offtake_sales4,0.04411929853048463,1.0,201901
4,label_country_brand_offtake_sales5,0.06502582194883852,1.0,201901
5,label_country_brand_offtake_sales7,0.06712999870181786,1.0,201901
6,label_country_brand_offtake_sales8,0.0018805715648129544,1.0,201901
7,label_country_offtake_sales4,0.02450549036810353,1.0,201901
8,label_country_offtake_sales12,0.018786226445416745,1.0,201901
9,label_country_offtake_sales1,0.039892093534521424,1.0,201901
10,label_country_offtake_sales2,0.01943723473885978,1.0,201901
11,label_country_brand_offtake_sales12,0.019422237953840637,1.0,201901
12,country_offtake_sales12,0.002407790684346626,1.0,201901
13,label_country_brand_sellin_sales1,0.010410038660773533,1.0,201901
14,label_country_offtake_sales5,0.01122320292819897,1.0,201901
15,mainstream_fsct,0.002238426023453253,1.0,201901
16,label_country_brand_offtake_sales6,0.0023878668376701106,1.0,201901
17,label_country_offtake_sales3,0.002961492834005955,1.0,201901
18,label_country_brand_sellin_sales5,0.013141863479142826,1.0,201901
19,label_country_brand_sellin_sales7,0.03616430461591351,1.0,201901
20,brand_offtake_sales12,0.0017603870012232014,1.0,201901
21,label_brand_offtake_sales12,0.0061639614066597345,1.0,201901
22,label_country_brand_sellin_sales2,0.0023230228863375738,1.0,201901
23,spre_fsct,0.0004993609163143024,1.0,201901
24,label_country_brand_sellin_sales3,0.0015748159435362546,1.0,201901
25,label_brand_offtake_sales6,0.0015648640785196333,1.0,201901
26,label_brand_offtake_sales4,0.0010921433970387652,1.0,201901
27,label_brand_offtake_sales2,0.0007023727982736307,1.0,201901
28,label_offtake_sales9,0.0019280721152411594,1.0,201901
29,label_country_offtake_sales8,0.0005332621345130672,1.0,201901
30,spre_sales1,0.0005956025771948002,1.0,201901
31,12to36_month_population_mean_9M,0.00019312286985623137,1.0,201901
32,label_brand_offtake_sales3,0.0008213983337659192,1.0,201901
33,brand_offtake_sales7,0.0012793062882353273,1.0,201901
34,label_country_brand_sellin_sales8,0.028656669537920242,1.0,201901
35,mainstream_mean_3M_fsct,0.0004671546060121162,1.0,201901
36,label_country_brand_offtake_sales9,0.003969384528811317,1.0,201901
37,12to36_month_population_mean_3M,0.0002076214394281465,1.0,201901
38,upre_sales3,0.00014553478190517844,1.0,201901
39,country_offtake_sales7,0.001041327580329683,1.0,201901
40,label_offtake_sales12,0.0012451407381574111,1.0,201901
41,country_offtake_sales1,0.0018867708530991973,1.0,201901
42,label_country_brand_price_sales3,0.0008207748031260382,1.0,201901
43,label_country_brand_price_sales1,0.0008099881912629435,1.0,201901
44,label_country_offtake_sales7,0.001466344034119024,1.0,201901
45,mainstream_sales3,0.00012154305151127976,1.0,201901
46,mainstream_sales2,0.0007220401413177588,1.0,201901
47,label_country_brand_sellin_sales4,0.0013725873094341586,1.0,201901
48,brand_offtake_sales10,0.0004387591003106469,1.0,201901
49,upre_sales1,0.00011780823925294755,1.0,201901
50,upre_sales2,0.00036602013612970847,1.0,201901
51,spre_sales3,0.00010621440387177073,1.0,201901
52,spre_sales2,0.000367942880894226,1.0,201901
53,mainstream_sales1,0.0003969446966256964,1.0,201901
54,upre_fsct,0.0005453614414225248,1.0,201901
55,upre_mean_3M_fsct,0.0003266971797466915,1.0,201901
56,spre_mean_3M_fsct,0.00016113011262094008,1.0,201901
57,0to6_month_population_mean_3M,0.00018925784213498755,1.0,201901
58,6to12_month_population_mean_3M,2.509017461609346e-05,1.0,201901
59,0to6_month_population_mean_6M,8.431574739465633e-05,1.0,201901
60,6to12_month_population_mean_6M,0.0002870156824741624,1.0,201901
61,12to36_month_population_mean_6M,0.00019489805638168065,1.0,201901
62,0to6_month_population_mean_9M,0.00010223799713453205,1.0,201901
63,6to12_month_population_mean_9M,0.00016356448484077223,1.0,201901
64,0to6_month_population_mean_12M,0.00011669840825632631,1.0,201901
65,6to12_month_population_mean_12M,0.00020509157946336696,1.0,201901
66,12to36_month_population_mean_12M,0.0003576155024714015,1.0,201901
67,label_country_brand_offtake_sales1,0.11812759630133164,2.0,201901
68,label_country_brand_offtake_sales4,0.1367406512137863,2.0,201901
69,label_country_brand_offtake_sales2,0.3067774246903248,2.0,201901
70,label_country_brand_offtake_sales3,0.017959892407771967,2.0,201901
71,label_country_brand_offtake_sales6,0.0469068907161991,2.0,201901
72,label_country_brand_offtake_sales5,0.007393636888805245,2.0,201901
73,label_country_offtake_sales1,0.028241464181430947,2.0,201901
74,label_country_brand_offtake_sales11,0.03768726923758773,2.0,201901
